1965.589041
   Z       E         F
   5  7.760E+01  1.816E-03
   5  8.922E+01  1.279E-03
   5  1.026E+02  8.948E-04
   5  1.179E+02  6.222E-04
   5  1.356E+02  4.295E-04
   5  1.559E+02  2.956E-04
   5  1.793E+02  2.020E-04
   5  2.061E+02  1.376E-04
   5  2.369E+02  9.354E-05
   5  2.725E+02  6.328E-05
   5  3.133E+02  4.270E-05
   5  3.602E+02  2.874E-05
   5  4.142E+02  1.931E-05
   5  4.762E+02  1.295E-05
   5  5.475E+02  8.667E-06
   5  6.294E+02  5.793E-06
   5  7.237E+02  3.867E-06
   5  8.322E+02  2.577E-06
   5  9.567E+02  1.717E-06
   5  1.100E+03  1.143E-06
   5  1.265E+03  7.594E-07
   5  1.454E+03  5.049E-07
   5  1.672E+03  3.354E-07
   5  1.923E+03  2.225E-07
   5  2.210E+03  1.478E-07
   5  2.541E+03  9.802E-08
   5  2.922E+03  6.499E-08
   5  3.359E+03  4.307E-08
   5  3.862E+03  2.855E-08
   5  4.441E+03  1.892E-08
   5  5.106E+03  1.253E-08
   5  5.871E+03  8.299E-09
   5  6.750E+03  5.497E-09
   5  7.760E+03  3.640E-09
   5  8.922E+03  2.410E-09
   5  1.026E+04  1.596E-09
   5  1.179E+04  1.057E-09
   5  1.356E+04  6.989E-10
   5  1.559E+04  4.632E-10
   5  1.793E+04  3.061E-10
   5  2.061E+04  2.026E-10
   5  2.369E+04  1.342E-10
   5  2.725E+04  8.878E-11
   5  3.133E+04  5.875E-11
   5  3.602E+04  3.886E-11
   5  4.142E+04  2.572E-11
   5  4.762E+04  1.702E-11
   5  5.475E+04  1.126E-11
   5  6.294E+04  7.454E-12
   5  7.237E+04  4.932E-12
   5  8.322E+04  3.262E-12
   5  9.567E+04  2.159E-12
   5  1.100E+05  1.428E-12
   6  1.200E-01  6.252E-02
   6  1.380E-01  7.120E-02
   6  1.586E-01  8.093E-02
   6  1.824E-01  9.186E-02
   6  2.098E-01  1.041E-01
   6  2.411E-01  1.176E-01
   6  2.772E-01  1.327E-01
   6  3.187E-01  1.493E-01
   6  3.665E-01  1.674E-01
   6  4.213E-01  1.871E-01
   6  4.844E-01  2.083E-01
   6  5.570E-01  2.309E-01
   6  6.404E-01  2.548E-01
   6  7.363E-01  2.796E-01
   6  8.466E-01  3.050E-01
   6  9.733E-01  3.306E-01
   6  1.119E+00  3.558E-01
   6  1.286E+00  3.799E-01
   6  1.480E+00  4.022E-01
   6  1.700E+00  4.219E-01
   6  1.956E+00  4.383E-01
   6  2.249E+00  4.504E-01
   6  2.585E+00  4.577E-01
   6  2.972E+00  4.595E-01
   6  3.418E+00  4.556E-01
   6  3.930E+00  4.458E-01
   6  4.518E+00  4.302E-01
   6  5.195E+00  4.093E-01
   6  5.972E+00  3.837E-01
   6  6.866E+00  3.544E-01
   6  7.895E+00  3.223E-01
   6  9.078E+00  2.885E-01
   6  1.044E+01  2.543E-01
   6  1.200E+01  2.206E-01
   6  1.380E+01  1.883E-01
   6  1.586E+01  1.584E-01
   6  1.824E+01  1.312E-01
   6  2.098E+01  1.070E-01
   6  2.411E+01  8.608E-02
   6  2.772E+01  6.826E-02
   6  3.187E+01  5.342E-02
   6  3.665E+01  4.127E-02
   6  4.213E+01  3.152E-02
   6  4.844E+01  2.380E-02
   6  5.570E+01  1.778E-02
   6  6.404E+01  1.316E-02
   6  7.363E+01  9.653E-03
   6  8.466E+01  7.024E-03
   6  9.733E+01  5.073E-03
   6  1.119E+02  3.639E-03
   6  1.286E+02  2.597E-03
   6  1.480E+02  1.840E-03
   6  1.700E+02  1.300E-03
   6  1.956E+02  9.122E-04
   6  2.249E+02  6.386E-04
   6  2.585E+02  4.457E-04
   6  2.972E+02  3.098E-04
   6  3.418E+02  2.149E-04
   6  3.930E+02  1.486E-04
   6  4.518E+02  1.026E-04
   6  5.195E+02  7.071E-05
   6  5.972E+02  4.866E-05
   6  6.866E+02  3.344E-05
   6  7.895E+02  2.294E-05
