   96  OUAGADOUGOU                   DFFD  OUAGADOUGOU, BURKINA FASO     12211200001304800010370  
   97  BOBO DIOULASS0                DFOO  BOBO DIOULASSO, BURKINA FASO  11093600004194800015090  
   98  KOTOKA INTL                   DGAA  ACCRA, GHANA                  05354800000101800002050  
   99  TAMALE                        DGLE  TAMALE, GHANA                 09334800000514800005530  
  100  KUMASI                        DGSI  KUMASI, GHANA                 06430600001353000009420  
  101  SUNYANI                       DGSN  SUNYANI, GHANA                07220000002194200010140  
  102  TAKORADI                      DGTK  TAKORADI, GHANA               04533600001463000000210  
  103  ABIDJAN FELIX/HOUP/BOI INTL   DIAP  ABIDJAN, IVORY COAST          05153600003553600000200  
  104  BOUAKE                        DIBK  BOUAKE, IVORY COAST           07451200005040600012240  
  105  MAN                           DIMN  MAN, IVORY COAST              07164200007351800010890  
  106  YAMOUSSOUKRO                  DIYO  YAMOUSSOUKRO, IVORY COAST     06544200005215400006960  
  107  ABUJA INTL                    DNAA  ABUJA, NIGERIA                0900180000715540}011230  
  108  BENIN                         DNBE  BENIN, NIGERIA                0619000000536000}002580  
  109  CALABAR                       DNCA  CALABAR, NIGERIA              0458300000820540}002110  
  110  ENUGU                         DNEN  ENUGU, NIGERIA                0628300000733420}004660  
  111  IBADAN                        DNIB  IBADAN, NIGERIA               0721420000358420}007250  
  112  ILORIN                        DNIL  ILORIN, NIGERIA               0826300000429300}011250  
  113  KADUNA                        DNKA  KADUNA, NIGERIA               1041420000719240}020730  
  114  MALLAM AMINU INTL             DNKN  KANO, NIGERIA                 1202300000830480}015650  
  115  MAIDUGURI                     DNMA  MAIDUGURI, NIGERIA            1151180001305000}011020  
  116  LAGOS/MURTALA MUHAMMED        DNMM  LAGOS/M  MUHAMMED, NIGERIA    0634300000319180}001350  
  117  PORT HARCOURT INTL            DNPO  PORT HARCOURT, NIGERIA        0500540000656480}000810  
  118  SADIQ ABUBAKAR III INTL/SOKOTODNSO  SOKOTO, NIGERIA               1254480000512240}010060  
  119  YOLA                          DNYO  YOLA, NIGERIA                 0915360001225540}005990  
  120  ZARIA                         DNZA  ZARIA, NIGERIA                1107540000741180}021500  
  121  NIAMEY                        DRRN  NIAMEY, NIGER                 1328540000210120}007280  
  122  ZINDER                        DRZR  ZINDER, NIGER                 1346420000859060}015090  
  123  HABIB BOURGUIBA INTL          DTMB  MONASTIR, TUNISIA             3545480001045240}000070  
  124  TUNIS/CARTHAGE                DTTA  TUNIS/CARTHAGE, TUNISIA       3651120001013420}000200  
  125  THYNA                         DTTX  SFAX, TUNISIA                 3443060001041300}000850  
  126  NIAMTOUGOU                    DXNG  NIAMTOUGOU, TOGO              0946120000105360}015130  
  127  LOME/TOKOIN                   DXXX  LOME,TOGO                     0609480000115180}000720  
  128  DEURNE                        EBAW  ANTWERP, BELGIUM              5111240000427480}000390  
  129  KLEINE-BROGEL BAF             EBBL  KLEINE-BROGEL, BELGIUM        5110060000528120}002000  
  130  BRUSSELS SOUTH                EBCI  CHARLEROI, BELGIUM            5027420000427120}006140  
  131  WEVELGEM                      EBKT  KORTRIJK, BELGIUM             5049060000312300}000620  
  132  BIERSET                       EBLG  LIEGE, BELGIUM                5038120000526360}006590  
  133  BRUSSELS NAT (ZAVENTEM)       EBMB  BRUSSELS, BELGIUM             5054060000429540}001840  
  134  HERINGSDORF                   EDAH  HERINGSDORF, GERMANY          5352420001409180}000930  
  135  BARTH                         EDBH  BARTH, GERMANY                5420060001242480}000230  
  136  NEUBRANDENBURG                EDBN  NEUBRANDENBURG, GERMANY       5336120001318240}002280  
  137  SCHONEFELD                    EDDB  BERLIN, GERMANY               5222420001331120}001540  
  138  DRESDEN                       EDDC  DRESDEN, GERMANY              5108000001346060}007550  
  139  ERFURT                        EDDE  ERFURT, GERMANY               5058480001057480}010360  
  140  FRANKFURT MAIN INTL           EDDF  FRANKFURT, GERMANY            5001540000834120}003640  
  141  MUNSTER-OSNABRUCK             EDDG  MUNSTER-OSNABRUCK, GERMANY    5208120000741060}001590  
  142  HAMBURG                       EDDH  HAMBURG, GERMANY              5337540000959480}000530  
  143  DUSSELDORF                    EDDL  DUSSELDORF, GERMANY           5117120000646120}001470  
  144  MUNCHEN                       EDDM  MUNCHEN, GERMANY              4821120001147120}014860  
  145  HALLE                         EDDP  LEIPZIG, GERMANY              5124540001213480}004630  
  146  ENSHEIM                       EDDR  SAARBRUCKEN, GERMANY          4912540000706360}010570  
  147  STUTTGART (ECHTERDINGEN AFA)  EDDS  STUTTGART, GERMANY            4841180000912360}013000  
  148  HANNOVER                      EDDV  HANNOVER, GERMANY             5227420000941060}001830  
  149  BREMEN                        EDDW  BREMEN, GERMANY               5302480000847180}000130  
  150  MANNHEIM NEUOSTHEIM           EDFM  MANNHEIM, GERMANY             4928240000830540}003090  
  151  HAMBURG/FINKENWERDER          EDHI  HAMBURG, GERMANY              5332060000950060}000160  
  152  KIEL-HOLTENAU                 EDHK  KIEL-HOLTENAU, GREMANY        5422480001008420}001010  
  153  MULHEIM                       EDLE  ESSEN, GERMANY                5124120000656120}004240  
  154  WICKEDE                       EDLW  DORTMUND, GERMANY             5131120000736480}004060  
  155  FRIEDRICHSHAFEN MIL/FA        EDNY  FRIEDRICHSHAFEN, GERMANY      4740120000930420}013660  
  156  ELCHINGEN                     EDPA  AALEN-HEIDENHEIM, GERMANY     4846420001015540}019160  
  157  FREIBURG/BREISGAU             EDTF  FREIBURG, GERMANY             4801060000750120}007990  
  158  DIEPHOLZ                      EDXQ  DIEPHOLZ, GERMANY             5235120000820300}001270  
  159  SYLT                          EDXW  WESTERLAND, GERMANY           5454480000820240}000510  
